10
1 357 45
1 122 179
1 597 175
1 207 461
1 513 468
1 356 125
1 251 228
1 460 231
1 278 364
1 424 362
357 45 357 45
357 45 357 45
357 45 597 175
357 45 122 179
357 45 356 125
122 179 207 461
122 179 357 45
122 179 251 228
597 175 357 45
597 175 513 468
597 175 460 231
207 461 513 468
207 461 122 179
207 461 278 364
513 468 597 175
513 468 207 461
513 468 424 362
356 125 278 364
356 125 424 362
356 125 357 45
251 228 424 362
251 228 460 231
251 228 122 179
460 231 278 364
460 231 251 228
460 231 597 175
278 364 460 231
278 364 356 125
278 364 207 461
424 362 251 228
424 362 356 125
424 362 513 468
